('INTERNALID','ROUTES_161'),
('N70174','91'),
('N70175','91'),
('N70172','91'),
('N71184','91'),
('N71186','91'),
('N71185','91'),
('S70236','Y49'),
('S70235','Y49'),
('S70226','Y49'),
('S70227','Y49'),
('S14300','Y46'),
('S14320','Y46'),
('S14340','Y46'),
('S14370','Y46'),
('S14380','Y46'),
('E16470','81'),
('E16470','83'),
('E70787','83'),
('E70373','83'),
('E16500','83'),
('E70786','83'),
('E16530','83'),
('E16540','83'),
('X05130','41'),
('N16060','19L'),
('N16065','19L'),
('E16560','54'),
('E16580','54'),
('E16600','54'),
('E16620','54'),
('S14665','53'),
('S14665','57'),
('S14665','61D'),
('S14665','64'),
('S14670','54'),
('N16520','2'),
('N16520','P13'),
('N16662','2'),
('N16662','P13'),
('N16664','2'),
('N16664','P13'),
('N16720','2'),
('N16720','P13'),
('N16742','2'),
('N16742','P13'),
('N16744','2'),
('N16744','P13'),
('S14780','59'),
('S14780','61C'),
('S14780','P7'),
('S14782','59'),
('S14782','61C'),
('S14782','P7'),
('S14784','59'),
('S14784','61C'),
('S14784','P7'),
('S14770','59'),
('S14770','61C'),
('S14770','P7'),
('S14744','59'),
('S14744','61C'),
('S14744','P7'),
('S70393','P7'),
('S70003','P7'),
('S14760','59'),
('S14760','61C'),
('S14760','P7'),
('S14745','59'),
('S14745','61C'),
('S14745','P7'),
('S14746','59'),
('S14746','61C'),
('S14746','P7'),
('S14792','61C'),
('S14790','59'),
('S14790','61C'),
('S14790','P7'),
('S14765','59'),
('S14765','61C'),
('S14765','P7'),
('S14743','59'),
('S14743','61C'),
('S14743','P7'),
('S70142','59'),
('S70142','61C'),
('S70142','P7'),
('S14742','59'),
('S14742','61C'),
('S14742','P7'),
('S70448','59'),
('S70448','61C'),
('S70448','P7'),
('N01920','1'),
('N01920','P10'),
('N01950','1'),
('N01950','P10'),
('N02010','1'),
('N02010','P10'),
('N02030','1'),
('N02030','P10'),
('N18335','1'),
('N18360','1'),
('N18420','1'),
('S70054','48'),
('S70054','51'),
('S16080','48'),
('S16080','51'),
('S16090','48'),
('S16090','51'),
('S16100','48'),
('S16100','51'),
('S16110','48'),
('S16110','51'),
('S16120','48'),
('S16120','51'),
('S16130','48'),
('S16130','51'),
('S16140','48'),
('S16140','51'),
('S16160','48'),
('S16160','51'),
('S16170','48'),
('S16170','51'),
('S16180','48'),
('S16190','48'),
('S16190','51'),
('S16200','48'),
('S16200','54'),
('S16210','48'),
('S16210','54'),
('S16220','48'),
('S16220','54'),
('S16230','48'),
('S16230','54'),
('S16250','48'),
('S16250','54'),
('S16250','81'),
('S16250','83'),
('S16270','48'),
('S16270','54'),
('S16270','81'),
('S16270','83'),
('S16310','48'),
('S16310','75'),
('S16320','48'),
('S16320','75'),
('S16325','48'),
('S16325','75'),
('S16330','75'),
('S70138','48'),
('S16590','75'),
('S70472','75'),
('S16400','48'),
('S16400','51'),
('S16410','48'),
('S16410','51'),
('S16420','48'),
('S16420','51'),
('S16430','48'),
('S16430','51'),
('S16625','48'),
('S16625','51'),
('S16440','48'),
('S16440','51'),
('S16630','48'),
('S16630','51'),
('S70407','48'),
('S70407','51'),
('S16580','48'),
('S16580','51'),
('S16520','48'),
('S16520','51'),
('S16600','48'),
('S16600','51'),
('S16610','48'),
('S16610','51'),
('S16620','48'),
('S16620','51'),
('S70465','48'),
('S70465','51'),
('S16700','48'),
('S16700','51'),
('S70299','55'),
('S70300','55'),
('W20140','31'),
('W20140','G31'),
('W20160','31'),
('W20160','G31'),
('W20270','31'),
('W20270','G31'),
('W20170','31'),
('W20170','G31'),
('W20180','31'),
('W20180','G31'),
('W20190','31'),
('W20190','G31'),
('W20230','31'),
('W20230','G31'),
('N17040','13'),
('N17040','16'),
('E17340','79'),
('E70003','79'),
('E70004','79'),
('E17320','79'),
('E17325','79'),
('E17330','79'),
('E17350','79'),
('E17355','79'),
('E70252','79'),
('E15925','74'),
('E15925','75'),
('E15925','89'),
('E17405','75'),
('E17405','89'),
('E15950','74'),
('E15950','75'),
('E15950','77'),
('E15950','82'),
('E15950','86'),
('E15950','89'),
('E17367','89'),
('E17368','89'),
('E15970','74'),
('E15970','75'),
('E15970','77'),
('E15970','82'),
('E15970','86'),
('E15970','89'),
('E17375','89'),
('E70812','75'),
('E17373','75'),
('E17373','89'),
('E17380','75'),
('E17380','89'),
('E70427','74'),
('E70427','75'),
('E70427','89'),
('E17395','89'),
('E17393','89'),
('E15980','74'),
('E15980','75'),
('E15980','77'),
('E15980','82'),
('E15980','86'),
('E15980','89'),
('E70209','74'),
('E70209','75'),
('E70209','77'),
('E70209','82'),
('E70209','86'),
('E70209','89'),
('E16010','74'),
('E16010','75'),
('E16010','77'),
('E16010','82'),
('E16010','86'),
('E16010','89'),
('E70179','P10'),
('E70179','P17'),
('N17250','54'),
('N17290','54'),
('N17300','1'),
('N17300','2'),
('N17350','1'),
('N17350','2'),
('N17380','1'),
('N17380','2'),
('N17380','4'),
('N17380','6'),
('N17380','7'),
('N17380','54'),
('N17430','1'),
('N17430','2'),
('N17430','4'),
('N17430','6'),
('N17430','7'),
('N17430','54'),
('N17440','1'),
('N17440','2'),
('N17440','4'),
('N17440','6'),
('N17440','7'),
('N17440','54'),
('N17640','1'),
('N17640','2'),
('N17640','4'),
('N17640','6'),
('N17640','7'),
('N17640','54'),
('S70354','55'),
('S70346','55'),
('S70349','55'),
('S70358','55'),
('S70356','55'),
('S70353','55'),
('S70348','55'),
('S70357','55'),
('S70345','55'),
('S70347','55'),
('S70350','55'),
('S70355','55'),
('N17850','12'),
('N18005','12'),
('N17860','12'),
('N17880','12'),
('N18010','12'),
('N18180','12'),
('N18185','12'),
('N18210','12'),
('N18275','12'),
('N17870','12'),
('N18220','12'),
('N17815','12'),
('N18320','12'),
('N17882','12'),
('S14940','59'),
('S14950','59'),
('X11175','39'),
('E17422','81'),
('E17424','81'),
('S70477','56'),
('S70486','56'),
('S70481','56'),
('S70485','56'),
('E70019','61A'),
('E70019','P7'),
('E17460','61A'),
('E17460','P7'),
('E17480','61A'),
('E17480','P7'),
('E17510','61A'),
('E17510','P7'),
('E17440','61A'),
('E17440','P7'),
('E17540','61A'),
('E17540','P7'),
('E17580','61A'),
('E17580','P7'),
('E17590','61A'),
('E17590','P7'),
('E17720','61A'),
('E17720','P7'),
('E17620','61A'),
('E17620','P7'),
('E17640','61A'),
('E17640','P7'),
('E17610','61A'),
('E17610','P7'),
('E17680','61A'),
('E17680','P7'),
('E17700','61A'),
('E17700','P7'),
('E17760','71'),
('E17760','P71'),
('E17770','71'),
('E17770','P71'),
('E17780','71'),
('E17780','P71'),
('E17790','71'),
('E17790','P71'),
('E17750','71'),
('E17750','P71'),
('S70526','44'),
('E70944','69'),
('E70944','P69'),
('E70251','69'),
('E70251','P69'),
('E18025','69'),
('E18025','P69'),
('E17940','69'),
('E17940','P69'),
('E17970','69'),
('E17970','P69'),
('E18020','69'),
('E18020','P69'),
('E18010','69'),
('E18010','P69'),
('E17965','69'),
('E17965','P69'),
('E18040','69'),
('E18040','P69'),
('S17050','59'),
('S17060','59'),
('S17070','59'),
('S17080','59'),
('S17090','59'),
('S17100','59'),
('S17110','59'),
('S17120','59'),
('S17160','59'),
('S17170','59'),
('E18270','87'),
('E18400','75'),
('E18410','75'),
('E18420','75'),
('E18430','75'),
('E18450','75'),
('E18470','75'),
('E70232','75'),
('E18480','75'),
('E18490','75'),
('E18500','75'),
('E70230','75'),
('E18510','75'),
('E18520','75'),
('E18530','75'),
('E18560','75'),
('E18570','75'),
('E18580','75'),
('E18590','75'),
('E18600','75'),
('E18610','75'),
('E18620','75'),
('E70235','75'),
('E70233','75'),
('E18625','75'),
('E18627','75'),
('E18630','75'),
('E70234','75'),
('E70231','75'),
('E70868','81'),
('E70869','81'),
('N18480','O5'),
('N45595','O5'),
('N45560','O5'),
('N18590','6'),
('N18610','15'),
('N18580','6'),
('E18850','71A'),
('E18850','71B'),
('E18870','71A'),
('E18870','71B'),
('S17660','60'),
('S17670','60'),
('S17710','60'),
('S17730','60'),
('S17850','60'),
('S17690','60'),
('S17750','60'),
('N18930','O5'),
('N18920','O5'),
('N18690','O5'),
('N18820','O5'),
('N18870','O5'),
('N18890','O5'),
('N19060','O5'),
('N19070','O5'),
('N18740','2'),
('N18743','2'),
('N18745','2'),
('N18747','2'),
('N18840','2'),
('N18985','2'),
('N19015','2'),
('N18700','12'),
('N18970','12'),
('E70752','74'),
('E70741','74'),
('E18905','67'),
('E18905','P67'),
('E18907','67'),
('E18907','P67'),
('W06630','20'),
('W06630','22'),
('W70082','20'),
('W70082','22'),
('W06670','20'),
('W06670','22'),
('W06650','20'),
('W06650','22'),
('S18030','Y45'),
('S18030','Y47'),
('W06780','26'),
('W06780','27'),
('W06800','26'),
('W06800','27'),
('N19280','8'),
('N19280','11'),
('N19120','8'),
('N19120','11'),
('N71205','8'),
('N71205','11'),
('N19170','8'),
('N19170','11'),
('N71305','1'),
('N71305','2'),
('N71305','4'),
('N71305','6'),
('N71305','7'),
('N71305','13'),
('N71305','15'),
('N71305','16'),
('N71305','17'),
('N19270','8'),
('N19270','11'),
('N19290','8'),
('N19290','11'),
('N71306','1'),
('N71306','2'),
('N71306','4'),
('N71306','6'),
('N71306','7'),
('N71306','13'),
('N71306','15'),
('N71306','16'),
('N71306','17'),
('N19460','8'),
('N19450','13'),
('N19450','16'),
('N70210','12'),
('N71256','2'),
('N71256','P13'),
('N19520','2'),
('N19520','P13'),
('N19530','2'),
('N19530','P13'),
('N19700','2'),
('N19700','P13'),
('N19540','2'),
('N19540','P13'),
('N19545','2'),
('N19545','P13'),
('N19560','2'),
('N19560','P13'),
('N19580','2'),
('N19580','P13'),
('N19590','2'),
('N19590','P13'),
('N19600','2'),
('N19600','P13'),
('N19610','2'),
('N19610','P13'),
('N71257','2'),
('N71257','P13'),
('N19620','2'),
('N19620','P13'),
('N19640','2'),
('N19640','P13'),
('N19660','2'),
('N19660','P13'),
('N19665','2'),
('N19665','P13'),
('N19675','2'),
('N19675','P13'),
('N19670','2'),
('N19670','P13'),
('N19680','2'),
('N19680','P13'),
('N19690','2'),
('N19690','P13'),
('W06810','21'),
('E18970','P12'),
('E18980','P12'),
('E19010','P12'),
('E01570','54'),
('E01570','71A'),
('E01570','71B'),
('E01570','71C'),
('E01570','71D'),
('E01570','75'),
('E01400','54'),
('E01400','71A'),
('E01400','71B'),
('E01400','71C'),
('E01400','71D'),
('E01400','75'),
('E00910','71B'),
('E00910','71D'),
('E00920','71B'),
('E00920','71D'),
('E00950','71D'),
('E00970','71A'),
('E00970','71B'),
('E00970','71C'),
('E00970','71D'),
('E00970','75'),
('E00970','93'),
('E00970','P3'),
('E00975','71A'),
('E00975','71B'),
('E00975','71C'),
('E00975','71D'),
('E00975','75'),
('E00975','93'),
('E00975','P3'),
('E00980','71B'),
('E00980','71D'),
('E01010','54'),
('E01010','71A'),
('E01010','71B'),
('E01010','71C'),
('E01010','71D'),
('E01010','75'),
('E01010','93'),
('E01010','P3'),
('E01040','54'),
('E01040','61A'),
('E01040','61B'),
('E01040','61C'),
('E01040','61D'),
('E01040','67'),
('E01040','69'),
('E01040','71A'),
('E01040','71B'),
('E01040','71C'),
('E01040','71D'),
('E01040','75'),
('E01040','81'),
('E01040','83'),
('E01090','64'),
('E01090','71B'),
('E01090','71D'),
('E01130','54'),
('E01130','71A'),
('E01130','71B'),
('E01130','71C'),
('E01130','71D'),
('E01130','75'),
('E01130','93'),
('E01130','P3'),
('E01140','71B'),
('E01140','71D'),
('E01140','75'),
('E01140','P3'),
('E01150','28X'),
('E01150','58'),
('E01150','71B'),
('E01150','71D'),
('E01150','75'),
('E01150','P3'),
('E01180','58'),
('E01180','81'),
('E01180','83'),
('E01180','93'),
('E01180','P3'),
('E01190','61A'),
('E01190','61B'),
('E01190','61C'),
('E01190','61D'),
('E01190','67'),
('E01190','69'),
('E01190','71A'),
('E01190','71B'),
('E01190','71C'),
('E01190','71D'),
('E70377','P10'),
('P00490','65'),
('P00490','81'),
('P00490','82'),
('P00490','83'),
('P00490','P76'),
('E01225','54'),
('E01225','71A'),
('E01225','71B'),
('E01225','71C'),
('E01225','71D'),
('E01225','75'),
('E01225','93'),
('E01225','P3'),
('E01230','P10'),
('E70237','P10'),
('E70454','71D'),
('E01260','64'),
('E01260','71D'),
('E01310','61A'),
('E01310','61B'),
('E01310','61C'),
('E01310','61D'),
('E01310','67'),
('E01310','69'),
('E01310','71A'),
('E01310','71B'),
('E01310','71C'),
('E01310','71D'),
('S70487','56'),
('P00580','19L'),
('P00580','65'),
('P00580','67'),
('P00580','69'),
('P00580','P76'),
('E01350','64'),
('E01350','71B'),
('E01350','71D'),
('E01560','54'),
('E01560','71A'),
('E01560','71B'),
('E01560','71C'),
('E01560','71D'),
('E01560','75'),
('E01560','P3'),
('E01210','54'),
('E01210','71A'),
('E01210','71B'),
('E01210','71C'),
('E01210','71D'),
('E01210','75'),
('E01210','93'),
('E01210','P3'),
('E01380','71D'),
('E01335','54'),
('E01335','71A'),
('E01335','71B'),
('E01335','71C'),
('E01335','71D'),
('E01335','75'),
('E01335','93'),
('E01335','P3'),
('E01410','71B'),
('E01410','71D'),
('E01420','28X'),
('E01420','58'),
('E01420','71B'),
('E01420','71D'),
('E01440','71A'),
('E01440','71B'),
('E01440','71C'),
('E01440','71D'),
('E01450','61A'),
('E01450','61B'),
('E01450','61C'),
('E01450','61D'),
('E01450','67'),
('E01450','69'),
('E01450','71A'),
('E01450','71B'),
('E01450','71C'),
('E01450','71D'),
('E01460','71B'),
('E01460','71D'),
('E01470','71B'),
('E01470','71D'),
('E01480','71B'),
('E01480','71D'),
('E01500','28X'),
('E01500','58'),
('E01500','71B'),
('E01500','71D'),
('E01360','54'),
('E01360','71A'),
('E01360','71B'),
('E01360','71C'),
('E01360','71D'),
('E01360','75'),
('E01360','93'),
('E01360','P3'),
('E01540','61A'),
('E01540','61B'),
('E01540','61C'),
('E01540','61D'),
('E01540','67'),
('E01540','69'),
('E01540','71A'),
('E01540','71B'),
('E01540','71C'),
('E01540','71D'),
('E01550','54'),
('E01550','61A'),
('E01550','61B'),
('E01550','61C'),
('E01550','61D'),
('E01550','67'),
('E01550','69'),
('E01550','71A'),
('E01550','71B'),
('E01550','71C'),
('E01550','71D'),
('E01550','75'),
('E01550','81'),
('E01550','83'),
('E01550','93'),
('E01550','P3'),
('P70007','19L'),
('P70007','67'),
('P70007','69'),
('P70007','77'),
('E01650','71D'),
('E01660','64'),
('E01660','71D'),
('P00600','19L'),
('P00600','61A'),
('P00600','61B'),
('P00600','61C'),
('P00600','61D'),
('P00600','71A'),
('P00600','71B'),
('P00600','71C'),
('P00600','71D'),
('P00600','P12'),
('P00600','P16'),
('P00600','P67'),
('E01730','28X'),
('E01730','54'),
('E01730','58'),
('E01730','61A'),
('E01730','61B'),
('E01730','61C'),
('E01730','61D'),
('E01730','67'),
('E01730','69'),
('E01730','71A'),
('E01730','71B'),
('E01730','71C'),
('E01730','71D'),
('E01730','75'),
('E01730','81'),
('E01730','83'),
('E01730','93'),
('E01730','P3'),
('E01760','71D'),
('E01760','88'),
('E01810','61A'),
('E01810','61B'),
('E01810','61C'),
('E01810','61D'),
('E01810','65'),
('E01810','67'),
('E01810','69'),
('E01810','71A'),
('E01810','71B'),
('E01810','71C'),
('E01810','71D'),
('E01820','71B'),
('E01820','71D'),
('P00590','19L'),
('P00590','61A'),
('P00590','61B'),
('P00590','61C'),
('P00590','61D'),
('P00590','71A'),
('P00590','71B'),
('P00590','71C'),
('P00590','71D'),
('P00590','P12'),
('P00590','P16'),
('P00590','P67'),
('P00650','19L'),
('P00650','65'),
('P00650','67'),
('P00650','69'),
('P00650','77'),
('P00650','81'),
('P00650','82'),
('P00650','83'),
('P00650','P17'),
('P00650','P69'),
('P00650','P7'),
('P00650','P76'),
('P00650','P78'),
('E01840','61A'),
('E01840','61B'),
('E01840','61C'),
('E01840','61D'),
('E01840','67'),
('E01840','69'),
('E01840','71A'),
('E01840','71B'),
('E01840','71C'),
('E01840','71D'),
('S70406','55'),
('S70406','56'),
('S70406','59'),
('S70406','60'),
('S70406','61C'),
('S70406','P7'),
('E02030','54'),
('E02030','61A'),
('E02030','61B'),
('E02030','61C'),
('E02030','61D'),
('E02030','67'),
('E02030','69'),
('E02030','71A'),
('E02030','71B'),
('E02030','71C'),
('E02030','71D'),
('E02030','75'),
('E02030','81'),
('E02030','83'),
('E02010','54'),
('E02010','61A'),
('E02010','61B'),
('E02010','61C'),
('E02010','61D'),
('E02010','67'),
('E02010','69'),
('E02010','71A'),
('E02010','71B'),
('E02010','71C'),
('E02010','71D'),
('E02010','75'),
('E02010','81'),
('E02010','83'),
('E70378','71B'),
('E70378','71D'),
('E01860','71B'),
('E01860','71D'),
('E01870','28X'),
('E01870','54'),
('E01870','61A'),
('E01870','61B'),
('E01870','61C'),
('E01870','61D'),
('E01870','67'),
('E01870','69'),
('E01870','71A'),
('E01870','71B'),
('E01870','71C'),
('E01870','71D'),
('E01870','75'),
('E01900','71B'),
('E01900','71D'),
('E01910','54'),
('E01910','71A'),
('E01910','71B'),
('E01910','71C'),
('E01910','71D'),
('E01910','75'),
('E01920','28X'),
('E01920','58'),
('E01920','71B'),
('E01920','71D'),
('E01930','64'),
('E01930','71B'),
('E01930','71D'),
('E01940','28X'),
('E01940','54'),
('E01940','61A'),
('E01940','61B'),
('E01940','61C'),
('E01940','61D'),
('E01940','67'),
('E01940','69'),
('E01940','71A'),
('E01940','71B'),
('E01940','71C'),
('E01940','71D'),
('E01940','75'),
('E01940','81'),
('E01940','83'),
('E01940','P3'),
('E01960','61A'),
('E01960','61B'),
('E01960','61C'),
('E01960','61D'),
('E01960','67'),
('E01960','69'),
('E01960','71A'),
('E01960','71B'),
('E01960','71C'),
('E01960','71D'),
('E01980','64'),
('E01980','71D'),
('S70488','56'),
('E01990','64'),
('E01990','71B'),
('E01990','71D'),
('E02040','61A'),
('E02040','61B'),
('E02040','61C'),
('E02040','61D'),
('E02040','67'),
('E02040','69'),
('E02040','71A'),
('E02040','71B'),
('E02040','71C'),
('E02040','71D'),
('E01720','71A'),
('E01720','71B'),
('E01720','71C'),
('E01720','71D'),
('E01720','75'),
('E01720','93'),
('E01720','P3'),
('E02050','54'),
('E02050','71A'),
('E02050','71B'),
('E02050','71C'),
('E02050','71D'),
('E02050','75'),
('E02050','93'),
('E02050','P3'),
('E02080','61A'),
('E02080','61B'),
('E02080','61C'),
('E02080','61D'),
('E02080','67'),
('E02080','69'),
('E02080','71A'),
('E02080','71B'),
('E02080','71C'),
('E02080','71D'),
('E02090','71B'),
('E02090','71D'),
('E16015','88'),
('E16015','P10'),
('E16015','P17'),
('E70236','P10'),
('E70236','P17'),
('X05460','40'),
('E19130','28X'),
('E19130','58'),
('E19130','61A'),
('E19130','61B'),
('E19130','61C'),
('E19130','61D'),
('E19130','67'),
('E19130','69'),
('E19150','61A'),
('E19150','61B'),
('E19160','61A'),
('E19160','61B'),
('E19170','61A'),
('E19170','61B'),
('E19170','61C'),
('E19170','61D'),
('E19210','28X'),
('E19210','58'),
('E19210','61A'),
('E19210','61B'),
('E19210','61C'),
('E19210','61D'),
('E19210','67'),
('E19210','69'),
('E19270','61A'),
('E19270','61B'),
('E19420','61A'),
('E19320','28X'),
('E19320','58'),
('E19320','61A'),
('E19320','61B'),
('E19320','61C'),
('E19320','61D'),
('E19320','67'),
('E19320','69'),
('E19350','61A'),
('E19350','61B'),
('E19370','61A'),
('E19370','61B'),
('E19400','28X'),
('E19400','54'),
('E19400','58'),
('E19400','61A'),
('E19400','61B'),
('E19400','61C'),
('E19400','61D'),
('E19400','67'),
('E19400','69'),
('E19430','61A'),
('E19440','61A'),
('E19440','61B'),
('E19440','61C'),
('E19440','61D'),
('E19440','71A'),
('E19440','71B'),
('E19440','71C'),
('E19440','71D'),
('E19480','61A'),
('E19480','61B'),
('E19480','61C'),
('E19480','61D'),
('E19510','61A'),
('E19510','61B'),
('E19510','61C'),
('E19510','61D'),
('E19510','71A'),
('E19510','71B'),
('E19510','71C'),
('E19510','71D'),
('E19520','61A'),
('E19520','61B'),
('E19520','61C'),
('E19520','61D'),
('E19470','61A'),
('E19470','61B'),
('E19470','61C'),
('E19470','61D'),
('E19470','71A'),
('E19470','71B'),
('E19470','71C'),
('E19470','71D'),
('E19570','28X'),
('E19570','58'),
('E19570','61A'),
('E19570','61B'),
('E19570','61C'),
('E19570','61D'),
('E19570','67'),
('E19570','69'),
('E19570','81'),
('E19570','83'),
('E19580','81'),
('E19580','83'),
('E19590','61A'),
('E19590','61B'),
('E19590','61C'),
('E19590','61D'),
('E19590','71A'),
('E19590','71B'),
('E19590','71C'),
('E19590','71D'),
('E19620','61A'),
('E19620','61B'),
('E19620','61C'),
('E19620','61D'),
('E19630','61A'),
('E19630','61B'),
('E19630','61C'),
('E19630','61D'),
('E19640','61A'),
('E19640','61B'),
('E19640','61C'),
('E19640','61D'),
('E19660','61A'),
('E19660','61B'),
('E19660','61C'),
('E19660','61D'),
('E19680','61A'),
('E19680','61B'),
('E19680','61C'),
('E19680','61D'),
('E19670','61A'),
('E19670','61B'),
('E19670','61C'),
('E19670','61D'),
('E19595','81'),
('E19595','83'),
('E19690','61A'),
('E19700','61A'),
('E19700','61B'),
('E19700','61C'),
('E19700','61D'),
('E19720','61A'),
('E19720','61B'),
('E19720','61C'),
('E19720','61D'),
('E19720','71A'),
('E19720','71B'),
('E19720','71C'),
('E19720','71D'),
('E19740','61A'),
('E19740','61B'),
('E19740','61C'),
('E19740','61D'),
('E19750','61A'),
('E19750','61B'),
('E19750','61C'),
('E19750','61D'),
('E19770','61A'),
('E19770','61B'),
('E19770','64'),
('E19770','74'),
('E19790','61A'),
('E19790','61B'),
('E19790','61C'),
('E19790','61D'),
('E19790','71A'),
('E19790','71B'),
('E19790','71C'),
('E19790','71D'),
('E19800','61A'),
('E19800','61B'),
('E19800','61C'),
('E19800','61D'),
('E19810','61A'),
('E19810','61B'),
('E19810','61C'),
('E19810','61D'),
('E19360','61A'),
('E19360','61B'),
('E19830','61A'),
('E19830','61B'),
('E19830','61C'),
('E19830','61D'),
('E19850','61A'),
('E19850','61B'),
('E19860','28X'),
('E19860','58'),
('E19860','61A'),
('E19860','61B'),
('E19860','61C'),
('E19860','61D'),
('E19860','67'),
('E19860','69'),
('E19890','61A'),
('E19890','61B'),
('E19890','61C'),
('E19890','61D'),
('E19920','61A'),
('E19920','61B'),
('E19920','61C'),
('E19920','61D'),
('E70819','69'),
('E70819','P69'),
('E70817','69'),
('E70817','P69'),
('E70816','69'),
('E70816','P69'),
('E70829','69'),
('E70829','P69'),
('E70830','69'),
('E70830','P69'),
('E70818','69'),
('E70818','P69'),
('N20140','13'),
('N20150','13'),
('N20160','13'),
('E20030','69'),
('E20030','P69'),
('E70822','69'),
('E70822','P69'),
('E70827','69'),
('E70827','P69'),
('N20030','13'),
('N20040','13'),
('N20050','13'),
('E70823','69'),
('E70823','P69'),
('N20090','13'),
('N20100','13'),
('N20110','13'),
('N20120','13'),
('N20130','13'),
('N20060','13'),
('N20200','13'),
('N20180','13'),
('W70092','20'),
('W70094','20'),
('W07280','20'),
('W07300','20'),
('W07190','20'),
('W07340','20'),
('W07390','20'),
('W07450','20'),
('E70864','74'),
('E20055','65'),
('E20060','65'),
('W07510','26'),
('W07510','27'),
('W07515','26'),
('W07515','27'),
('W70097','26'),
('W70097','27'),
('P00375','52L'),
('P00375','53L'),
('P00375','56'),
('P00375','57'),
('P00375','58'),
('N71179','91'),
('N71181','91'),
('N71182','91'),
('N71180','91'),
('N71183','91'),
('N70177','91'),
('N70176','91'),
('N70178','91'),
('W07525','38'),
('E20310','77'),
('E20310','86'),
('E70367','77'),
('E20330','77'),
('E20330','86'),
('E20340','77'),
('E20340','86'),
('E20360','77'),
('E20360','86'),
('E20370','77'),
('E20370','86'),
('E20380','77'),
('E20380','86'),
('E20385','77'),
('E20390','77'),
('E20390','86'),
('E20420','77'),
('E20420','86'),
('E70421','77'),
('E70421','86'),
('E20450','77'),
('E20450','86'),
('E70046','77'),
('E70046','86'),
('E20455','77'),
('E20455','86'),
('E20470','77'),
('E20470','86'),
('E20490','77'),
('E20490','86'),
('E20480','77'),
('E20480','86'),
('E20510','77'),
('E20510','86'),
('E20795','77'),
('E20550','77'),
('E20550','86'),
('E20560','77'),
('E20560','86'),
('E20565','77'),
('E20565','86'),
('E20590','77'),
('E20590','82'),
('E20590','86'),
('E20590','P17'),
('E20600','77'),
('E20600','86'),
('E20650','77'),
('E20670','77'),
('E20670','86'),
('E20680','77'),
('E20680','86'),
('E20700','77'),
('E20700','86'),
('E20710','77'),
('E70265','77'),
('E20750','77'),
('E20750','86'),
('E20760','77'),
('E20760','86'),
('E20770','77'),
('E20770','86'),
('E20500','77'),
('E20500','86'),
('E20780','77'),
('E20780','82'),
('E20780','86'),
('E20780','P17'),
('E20782','77'),
('E20785','77'),
('E20800','77'),
('E21360','77'),
('E20630','77'),
('E20810','77'),
('E20810','P16'),
('E20820','77'),
('E21550','77'),
('E20850','77'),
('E20880','77'),
('E20901','77'),
('E20920','77'),
('E20930','77'),
('E20930','P16'),
('E20945','77'),
('E20945','P16'),
('E20940','77'),
('E20940','P16'),
('E20960','77'),
('E20970','77'),
('E20970','P16'),
('E20990','77'),
('E70116','77'),
('E70041','77'),
('E21020','77'),
('E70162','77'),
('E70162','P16'),
('E20620','77'),
('E21030','77'),
('E21060','77'),
('E21060','P16'),
('E21065','77'),
('E21080','77'),
('E21090','77'),
('E21120','77'),
('E21130','77'),
('E21130','P16'),
('E21150','77'),
('E21160','77'),
('E21190','77'),
('E20570','77'),
('E21675','77'),
('E70449','77'),
('E70447','77'),
('E70447','P16'),
('E21280','77'),
('E21300','77'),
('E20610','77'),
('E21320','77'),
('E21320','P16'),
('E21310','P16'),
('E21740','77'),
('E21740','P16'),
('E21430','77'),
('E21430','P16'),
('E21460','77'),
('E21510','77'),
('E20720','77'),
('E20870','77'),
('E20890','77'),
('E20910','77'),
('E21560','77'),
('E21560','P16'),
('E20950','77'),
('E21570','77'),
('E21570','P16'),
('E21590','77'),
('E21600','77'),
('E21600','P16'),
('E21640','77'),
('E21660','77'),
('E21670','77'),
('E21670','P16'),
('E21140','77'),
('E70446','77'),
('E70446','P16'),
('E21700','77'),
('E21700','P16'),
('E21240','77'),
('E70039','77'),
('E21780','77'),
('E20730','77'),
('X05890','39'),
('X05850','39'),
('X05870','39'),
('X05880','39'),
('X05900','39'),
('X05910','39'),
('N22805','1'),
('N22805','75'),
('N22805','91'),
('N21810','1'),
('N21350','1'),
('N21820','1'),
('N21820','P10'),
('N21855','1'),
('N20510','1'),
('N20510','P10'),
('N20520','1'),
('N20520','P10'),
('N20530','1'),
('N20530','P10'),
('N20550','P10'),
('N20560','P10'),
('N20590','1'),
('N20600','1'),
('N20600','P10'),
('N21355','1'),
('N21355','78'),
('N21355','P10'),
('N21355','P16'),
('N21355','P78'),
('N71289','P10'),
('N20620','P10'),
('N20640','P10'),
('N21120','1'),
('N21120','P10'),
('N20660','1'),
('N20660','P10'),
('N20680','P10'),
('N20710','1'),
('N20650','P10'),
('N20720','1'),
('N20730','1'),
('N20770','1'),
('N20770','75'),
('N20770','91'),
('N20790','P10'),
('N20800','P10'),
('N20840','1'),
('N20850','P10'),
('N20860','P10'),
('N20930','1'),
('N20930','75'),
('N20930','91'),
('N20925','1'),
('N20940','1'),
('N21490','1'),
('N21260','1'),
('N20950','1'),
('N20950','P10'),
('N20990','P10'),
('N21000','P10'),
('N21020','1'),
('N21020','75'),
('N21020','91'),
('N22065','1'),
('N22065','75'),
('N22065','91'),
('N21070','1'),
('N21070','75'),
('N21070','91'),
