('INTERNALID','ROUTES_161'),
('N05060','P10'),
('N05060','P16'),
('N05060','P78'),
('N71273','91'),
('N71286','P10'),
('N71274','91'),
('E70738','78'),
('E70738','P16'),
('E70738','P78'),
('N71270','91'),
('N71271','91'),
('N71287','P10'),
('X00140','39'),
('S04000','51L'),
('S04000','54'),
('S04010','54'),
('S04040','44'),
('S04040','54'),
('N71209','91'),
('N71208','91'),
('N05390','O5'),
('N05400','O5'),
('N05360','O5'),
('N05370','O5'),
('N05380','O5'),
('N05410','O5'),
('N05420','O5'),
('N05450','O5'),
('N05460','O5'),
('N05470','O5'),
('N05480','O5'),
('N05490','O5'),
('S04090','53'),
('S04090','53L'),
('S70451','53'),
('S70451','53L'),
('S04097','57'),
('S70061','53'),
('S04110','57'),
('S70060','53'),
('S04160','53'),
('S04160','53L'),
('S04160','57'),
('S04160','59'),
('S04160','61D'),
('S04160','64'),
('S04150','53L'),
('S04150','57'),
('S04150','61D'),
('S04150','64'),
('N05860','1'),
('N05860','2'),
('N05860','4'),
('N05860','6'),
('N05860','7'),
('N05860','8'),
('N05860','11'),
('N05860','12'),
('N05860','13'),
('N05860','15'),
('N05860','16'),
('N05860','17'),
('N05860','P13'),
('N05890','1'),
('N05890','2'),
('N05890','4'),
('N05890','6'),
('N05890','7'),
('N05890','8'),
('N05890','11'),
('N05890','12'),
('N05890','13'),
('N05890','15'),
('N05890','16'),
('N05890','17'),
('N05890','P13'),
('N05870','1'),
('N05870','2'),
('N05870','4'),
('N05870','6'),
('N05870','7'),
('N05870','8'),
('N05870','11'),
('N05870','12'),
('N05870','13'),
('N05870','15'),
('N05870','16'),
('N05870','17'),
('N05880','8'),
('N05880','11'),
('N05880','12'),
('N05850','8'),
('N05850','11'),
('N05850','12'),
('S04190','53L'),
('N05970','54'),
('N05980','54'),
('N05950','54'),
('N05990','54'),
('N06010','54'),
('N06020','54'),
('E04340','69'),
('E04340','P69'),
('E04340','P76'),
('E04150','59'),
('E04150','69'),
('E04150','P69'),
('E04150','P76'),
('E04160','69'),
('E04160','P69'),
('E04160','P76'),
('E04170','69'),
('E04170','P69'),
('E04170','P76'),
('E04180','69'),
('E04180','P69'),
('E04180','P76'),
('E04190','69'),
('E04190','P69'),
('E04190','P76'),
('E04210','68'),
('E04210','69'),
('E04210','P67'),
('E04210','P68'),
('E04210','P69'),
('E04210','P76'),
